Distance [m];Packet RSSI [dBm];RSSI [dBm];SNR [dB];Power level [dBm];SF;BW [kHz];Freq [MHz];CR;Lat;Long;Speed [km/h]
100;-118;-108;-10;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-106;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-107;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-106;-8;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-117;-106;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-106;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-108;-12;20;12;62.5;868.1;'4/5';56.436823;10.007445;0.0
100;-119;-104;-9;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-104;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-117;-104;-9;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-108;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-106;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-106;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-104;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-108;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-106;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-119;-105;-12;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-107;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-103;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-10;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
100;-117;-107;-11;20;12;62.5;868.1;'4/5';56.436830;10.007447;0.0
